clus,pois,latitude,longitude,time,categories
243,Chiesa_di_San_Francesco_di_Sales_(Firenze),43.769125,11.23993056,197.3333333,chiesedifirenze
244,Ex_monastero_di_Santa_Verdiana,43.76997222,11.26794722,295.5894737,chiesedifirenze;monasteridifirenze
245,Porta_San_Miniato,43.76371389,11.26158056,341.6530612,architetturedifirenze
246,Porta_San_Giorgio_(Firenze),43.76303333,11.25505278,399.7954545,architetturedifirenze
247,Porta_San_Frediano,43.77046667,11.24005556,315.047619,architetturedifirenze
248,Porta_Romana_(Firenze),43.76067778,11.24188889,812.72,architetturedifirenze
249,Museo_Stibbert,43.79288333,11.255175,2325.7,pinacoteched'italia;museidifirenze
250,Palazzo_Columbia-Parlamento;Chiesa_di_San_Fiorenzo,43.76943056,11.25781111,338.96,chiesedifirenze;alberghidifirenze;palazzidifirenze
252,Cupola_del_Brunelleschi,43.77333333,11.25729444,800.0786517,cattedralidellaprovinciadifirenze;architetturedifirenze;cupole
253,Torri_di_Corso_Donati,43.77122222,11.26138333,120,torridifirenze
254,Cappella_Strozzi_di_Mantova;Cappella_Bardi_(Santa_Maria_Novella);Cappella_Gondi;Cappella_Rucellai;Cappella_Tornabuoni;Cappella_di_Filippo_Strozzi,43.77507778,11.24963889,360.8934426,basilichedifirenze;ciclidiaffreschidifirenze;cappelledifirenze;cappelledifirenze;basilichedifirenze;ciclidiaffreschidifirenze;dipintiafirenze;cappelledifirenze;cappelledifirenze;dipintiafirenze;dipintiafirenze;cappelledifirenze;basilichedifirenze;dipintiafirenze;basilichedifirenze;basilichedifirenze;cappelledifirenze;architetturedifirenze;ciclidiaffreschidifirenze;basilichedifirenze;ciclidiaffreschidifirenze
255,Teatro_Standish,43.78284444,11.26173056,712.8888889,teatridifirenze
256,Cappella_Salviati,43.77850556,11.25883611,150.75,cappelledifirenze;basilichedifirenze
257,Istituto_Tecnico_per_Geometri_Gaetano_Salvemini,43.77688889,11.26405556,579.375,scuoledifirenze
258,Museo_nazionale_di_San_Marco,43.77819,11.25932,850.3076923,museidifirenze;pinacoteched'italia;architetturedifirenze;ciclidiaffreschidifirenze
259,Torre_dei_Bagnesi,43.76799167,11.25835833,481.7857143,torridifirenze
261,Palazzo_Larderel,43.77222778,11.25128056,1706.157895,palazzidifirenze
262,Istituto_di_Sant'Agnese;Teatro_di_via_dell'Acqua,43.77904444,11.25097222,120,architetturedifirenze;teatridifirenze;ospedalidifirenze
263,Piazza_della_Repubblica_(Firenze);Mercato_Vecchio,43.77144722,11.25406111,340.2778731,piazzedifirenze;architetturedifirenze;architetturedifirenze;mercatidifirenze
264,Piazza_dei_Giudici,43.76759444,11.25625833,477.7708333,piazzedifirenze
265,Palazzo_Gherardi_Uguccioni,43.77104167,11.25126389,120,palazzidifirenze
266,Palazzo_Rinuccini_(via_de'_Cimatori),43.77043611,11.25659722,120,palazzidifirenze
267,Tempio_di_Iside_(Firenze),43.769375,11.25808333,120,sitiarcheologicidellaprovinciadifirenze;architetturedifirenze
268,Torre_dei_Della_Bella,43.77091944,11.25605556,706.175,torridifirenze
269,Museo_archeologico_nazionale_di_Firenze,43.77623889,11.26226667,199.8125,museidifirenze
270,Via_dei_Calzaiuoli;Chiesa_di_Santa_Maria_Nepotecosa,43.77155278,11.25541944,379.0258621,edificidicultodifirenze;chiesedifirenze;stradedifirenze
271,Palazzo_Medici_Riccardi,43.7752,11.25542,122.3571429,residenze;museidifirenze;architetturedifirenze;palazzidifirenze
272,Chiesa_di_Santa_Maria_degli_Alberighi,43.77178333,11.25639722,120,chiesedifirenze;edificidicultodifirenze
